page_title	class	page_len	rev_id	prediction	weighted_sum
Tommy_Turk	Stub	6206	710711929	C	1.9305821202970535
Vertex_(band)	Stub	2200	662654238	Stub	0.5638181094628507
Victor_Bendix	Stub	2890	719089999	Start	1.3904678260714267
Viera_Janárceková	Stub	2340	718984099	Stub	0.5874589728536445
Waysted	Stub	3756	710523650	Start	1.0866868651844097
Ñico_Saquito	Stub	3593	713177215	Start	0.9857830751381168
Absurd_Minds	Start	3205	664029284	Start	1.016607598358061
Angel_Deradoorian	Start	8172	716109175	C	2.0250647037580505
Balys_Dvarionas	Start	6140	708314443	Start	1.387989306198667
Benny_Ibarra	Start	5409	711432454	Start	1.365441334439959
Beth_Gibbons	Start	7365	717323053	Start	1.796731009000993
Blue_(English_band)	Start	27016	719100884	GA	3.70227355576388
Boy_Crisis	Start	7250	715599037	C	2.2421975788361665
Bradley_McIntosh	Start	7594	705761847	C	1.7943101553254273
Bruce_Peninsula_(band)	Start	3682	708530977	Start	1.169303082143602
Buddy_Miles	Start	27669	714704254	C	2.2834913152387464
Cannonball_Adderley	Start	11684	719112538	C	2.274637148978659
Cedric_Bixler-Zavala	Start	16037	717014372	C	2.4365073535637323
Chic_(band)	Start	26460	712814174	C	2.5235896025802167
Chris_Potter_(jazz_saxophonist)	Start	13148	714382032	C	2.6300661212065815
Christopher_Hogwood	Start	15941	699379523	GA	3.0526202825381032
Clara_Butt	Start	10193	712519517	GA	3.122767545094773
Dane_Rumble	Start	11775	716096292	C	2.2366095855368275
Daniel_Léo_Simpson	Start	3823	717849938	Start	1.1416993943744693
Dappy	Start	26081	715826348	GA	3.299145118232001
Darkthrone	Start	19904	719284544	C	2.7362355266716465
Darren_Espanto	Start	50352	718062386	GA	4.360754241625123
Dawaun_Parker	Start	6240	708707518	Start	1.4495999477222827
Daytona_Lights	Start	4325	698418253	Start	1.4307546866233212
Dominik_Kuhn	Start	7504	663533154	C	2.245444426893173
Doof_(musician)	Start	5517	707740441	Start	1.6889310448792951
Elaine_Bonazzi	Start	19078	704068881	GA	3.30580678807889
